id,2022-09-27,2022-09-28,2022-09-29,2022-09-30,2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12
63170008,,Rupture partielle,,,,,,,,,,,,,,
63260003,,Rupture partielle,,,,,,,,,,,,,,
63500006,,Rupture totale,,,,,,,,,,,,,,
64110003,,Rupture totale,,,,,,,,,,,,,,
64150003,,Rupture partielle,,,,,,,,,,,,,,
64200009,,Rupture totale,,,,,,,,,,,,,,
65400005,,Rupture partielle,,,,,,,,,,,,,,
65500001,,Rupture partielle,,,,,,,,,,,,,,
66000018,,Rupture partielle,,,,,,,,,,,,,,
66000020,,Rupture partielle,,,,,,,,,,,,,,
66000021,,Rupture partielle,,,,,,,,,,,,,,
66700007,,Rupture partielle,,,,,,,,,,,,,,
67112002,,Rupture partielle,,,,,,,,,,,,,,
67114001,,Rupture partielle,,,,,,,,,,,,,,
67170008,,Rupture partielle,,,,,,,,,,,,,,
67211001,,Rupture partielle,,,,,,,,,,,,,,
67220003,,Rupture partielle,,,,,,,,,,,,,,
67240002,,Rupture partielle,,,,,,,,,,,,,,
67310003,,Rupture partielle,,,,,,,,,,,,,,
67340001,,Rupture totale,,,,,,,,,,,,,,
67380001,,Rupture partielle,,,,,,,,,,,,,,
67460001,,Rupture totale,,,,,,,,,,,,,,
67840002,,Rupture partielle,,,,,,,,,,,,,,
67860001,,Rupture partielle,,,,,,,,,,,,,,
68000006,,Rupture partielle,,,,,,,,,,,,,,
68000019,,Rupture partielle,,,,,,,,,,,,,,
68040002,,Rupture partielle,,,,,,,,,,,,,,
68100009,,Rupture totale,,,,,,,,,,,,,,
68140002,,Rupture partielle,,,,,,,,,,,,,,
68170003,,Rupture partielle,,,,,,,,,,,,,,
68210001,,Rupture totale,,,,,,,,,,,,,,
68250004,,Rupture partielle,,,,,,,,,,,,,,
68300004,,Rupture totale,,,,,,,,,,,,,,
68330002,,Rupture partielle,,,,,,,,,,,,,,
69007006,,Rupture partielle,,,,,,,,,,,,,,
69007009,,Rupture totale,,,,,,,,,,,,,,
69008008,,Rupture totale,,,,,,,,,,,,,,
69120011,,Rupture partielle,,,,,,,,,,,,,,
69125002,,Rupture totale,,,,,,,,,,,,,,
69130005,,Rupture totale,,,,,,,,,,,,,,
69320006,,Rupture partielle,,,,,,,,,,,,,,
69320007,,Rupture partielle,,,,,,,,,,,,,,
69510004,,Rupture partielle,,,,,,,,,,,,,,
69800016,,Rupture totale,,,,,,,,,,,,,,
69800017,,Rupture partielle,,,,,,,,,,,,,,
70100003,,Rupture totale,,,,,,,,,,,,,,
70300009,,Rupture totale,,,,,,,,,,,,,,
70800002,,Rupture totale,,,,,,,,,,,,,,
71100026,,Rupture totale,,,,,,,,,,,,,,
71100028,,Rupture totale,,,,,,,,,,,,,,
71210009,,Rupture partielle,,,,,,,,,,,,,,
71300012,,Rupture partielle,,,,,,,,,,,,,,
71480006,,Rupture partielle,,,,,,,,,,,,,,
72000020,,Rupture partielle,,,,,,,,,,,,,,
72100004,,Rupture totale,,,,,,,,,,,,,,
72100012,,Rupture partielle,,,,,,,,,,,,,,
74302001,,Rupture partielle,,,,,,,,,,,,,,
74540002,,Rupture partielle,,,,,,,,,,,,,,
75015026,,Rupture totale,,,,,,,,,,,,,,
76000013,,Rupture totale,,,,,,,,,,,,,,
76240006,,Rupture partielle,,,,,,,,,,,,,,
76300009,,Rupture partielle,,,,,,,,,,,,,,
76420006,,Rupture totale,,,,,,,,,,,,,,
77100010,,Rupture totale,,,,,,,,,,,,,,
77120003,,Rupture partielle,,,,,,,,,,,,,,
77186003,,Rupture partielle,,,,,,,,,,,,,,
77250007,,Rupture partielle,,,,,,,,,,,,,,
77340005,,Rupture partielle,,,,,,,,,,,,,,
77400011,,Rupture partielle,,,,,,,,,,,,,,
78000008,,Rupture partielle,,,,,,,,,,,,,,
78000019,,Rupture partielle,,,,,,,,,,,,,,
78000022,,Rupture totale,,,,,,,,,,,,,,
78121001,,Rupture partielle,,,,,,,,,,,,,,
78150013,,Rupture partielle,,,,,,,,,,,,,,
78150015,,Rupture totale,,,,,,,,,,,,,,
78340005,,Rupture totale,,,,,,,,,,,,,,
78560004,,Rupture totale,,,,,,,,,,,,,,
78690003,,Rupture totale,,,,,,,,,,,,,,
78700003,,Rupture totale,,,,,,,,,,,,,,
79100006,,Rupture partielle,,,,,,,,,,,,,,
80590001,,Rupture partielle,,,,,,,,,,,,,,
81100003,,Rupture partielle,,,,,,,,,,,,,,
81370004,,Rupture partielle,,,,,,,,,,,,,,
82100007,,Rupture partielle,,,,,,,,,,,,,,
82200001,,Rupture partielle,,,,,,,,,,,,,,
83140008,,Rupture partielle,,,,,,,,,,,,,,
83160003,,Rupture partielle,,,,,,,,,,,,,,
83300001,,Rupture partielle,,,,,,,,,,,,,,
83390001,,Rupture partielle,,,,,,,,,,,,,,
83490001,,Rupture partielle,,,,,,,,,,,,,,
83500013,,Rupture partielle,,,,,,,,,,,,,,
83510004,,Rupture partielle,,,,,,,,,,,,,,
84000021,,Rupture totale,,,,,,,,,,,,,,
84130010,,Rupture totale,,,,,,,,,,,,,,
84400007,,Rupture partielle,,,,,,,,,,,,,,
85000004,,Rupture totale,,,,,,,,,,,,,,
86360003,,Rupture partielle,,,,,,,,,,,,,,
86550003,,Rupture totale,,,,,,,,,,,,,,
87000027,,Rupture partielle,,,,,,,,,,,,,,
88100007,,Rupture totale,,,,,,,,,,,,,,
88190001,,Rupture partielle,,,,,,,,,,,,,,
88200002,,Rupture partielle,,,,,,,,,,,,,,
88250001,,Rupture totale,,,,,,,,,,,,,,
89100004,,Rupture partielle,,,,,,,,,,,,,,
89520002,,Rupture partielle,,,,,,,,,,,,,,
90000013,,Rupture partielle,,,,,,,,,,,,,,
90000014,,Rupture partielle,,,,,,,,,,,,,,
91000007,,Rupture partielle,,,,,,,,,,,,,,
91150013,,Rupture partielle,,,,,,,,,,,,,,
91380010,,Rupture partielle,,,,,,,,,,,,,,
91470007,,Rupture partielle,,,,,,,,,,,,,,
91570004,,Rupture partielle,,,,,,,,,,,,,,
