dep,datetime,tx_incidence,tx_positivite
58,2021-10-29,0.0,0.0
58,2021-10-30,0.0,0.0
58,2021-10-31,0.0,0.0
58,2021-11-01,0.0,0.0
58,2021-11-02,0.0,0.0
58,2021-11-03,5.737234652897303,1.49
58,2021-11-04,17.21170395869191,4.48
58,2021-11-05,34.42340791738382,8.22
58,2021-11-06,51.63511187607573,13.04
58,2021-11-07,51.63511187607573,13.24
58,2021-11-08,63.10958118187034,15.49
58,2021-11-09,74.58405048766494,4.91
58,2021-11-10,86.05851979345955,5.62
58,2021-11-11,80.32128514056225,5.3
58,2021-11-12,97.53298909925417,5.57
58,2021-11-13,103.27022375215147,5.66
58,2021-11-14,103.27022375215147,5.68
58,2021-11-15,114.74469305794607,5.75
58,2021-11-16,126.21916236374068,4.75
58,2021-11-17,154.9053356282272,4.95
58,2021-11-18,149.16810097532988,3.5
58,2021-11-19,137.69363166953528,3.05
58,2021-11-20,126.21916236374068,2.78
58,2021-11-21,126.21916236374068,2.78
58,2021-11-22,154.9053356282272,2.62
59,2021-09-01,130.1344005991093,10.64
59,2021-09-02,124.3029062326398,10.73
59,2021-09-03,115.40220430487052,10.04
59,2021-09-04,109.26378918227103,9.43
59,2021-09-05,108.64994767001107,9.4
59,2021-09-06,107.1153438893612,7.71
59,2021-09-07,109.57070993840101,4.99
59,2021-09-08,111.71915523131082,4.84
59,2021-09-09,117.85757035391032,3.66
59,2021-09-10,123.99598547650982,3.16
59,2021-09-11,128.59979681845945,3.14
59,2021-09-12,125.22366850102972,3.0
59,2021-09-13,121.54061942747002,2.48
59,2021-09-14,118.77833262230025,2.27
59,2021-09-15,110.7983929629209,2.03
59,2021-09-16,101.59077027902165,1.87
59,2021-09-17,93.91775137577228,1.63
59,2021-09-18,87.16549474091285,1.5
59,2021-09-19,86.5516532286529,1.49
59,2021-09-20,80.72015886218337,1.38
59,2021-09-21,76.11634752023375,1.19
59,2021-09-22,77.65095130088362,1.2
59,2021-09-23,78.57171356927356,1.11
59,2021-09-24,73.047139958934,1.07
59,2021-09-25,69.97793239763425,1.05
59,2021-09-26,69.97793239763425,1.05
59,2021-09-27,60.463388957605034,0.93
59,2021-09-28,60.77030971373501,0.97
59,2021-09-29,53.09729081048564,0.9
59,2021-09-30,49.72116249305592,0.88
59,2021-10-01,47.572717200146094,0.9
59,2021-10-02,50.64192476144584,0.96
59,2021-10-03,50.64192476144584,0.96
59,2021-10-04,53.404211566615615,1.05
59,2021-10-05,44.81043039497632,0.94
59,2021-10-06,45.1173511511063,0.97
59,2021-10-07,44.503509638846346,0.94
59,2021-10-08,46.03811341949622,0.82
59,2021-10-09,43.27582661432645,0.78
59,2021-10-10,42.355064345936526,0.76
59,2021-10-11,34.682045442687155,0.68
59,2021-10-12,33.14744166203728,0.62
59,2021-10-13,31.91975863751738,0.6
59,2021-10-14,28.543630320087658,0.56
59,2021-10-15,28.85055107621763,0.67
59,2021-10-16,27.009026539437784,0.63
59,2021-10-17,27.009026539437784,0.63
59,2021-10-18,32.22667939364735,0.69
59,2021-10-19,39.28585678463678,0.79
59,2021-10-20,40.82046056528665,0.82
59,2021-10-21,46.03811341949622,0.9
59,2021-10-22,50.94884551757582,1.06
59,2021-10-23,55.85957761565541,1.15
59,2021-10-24,59.235705933085136,1.22
59,2021-10-25,60.77030971373501,1.45
59,2021-10-26,57.087260640175316,2.24
59,2021-10-27,59.235705933085136,2.41
59,2021-10-28,56.78033988404534,4.28
59,2021-10-29,57.394181396305285,5.4
59,2021-10-30,58.00802290856524,5.71
59,2021-10-31,56.78033988404534,5.62
59,2021-11-01,51.86960778596574,6.12
59,2021-11-02,63.83951727503476,7.38
59,2021-11-03,72.43329844667406,8.19
59,2021-11-04,79.79939659379345,8.88
59,2021-11-05,85.01704944800302,9.19
59,2021-11-06,92.69006835125239,9.74
59,2021-11-07,95.45235515642216,9.96
59,2021-11-08,116.62988732939043,9.6
59,2021-11-09,118.77833262230025,4.69
59,2021-11-10,127.06519303780956,4.75
59,2021-11-11,119.3921741345602,4.56
59,2021-11-12,140.26278555139848,3.95
59,2021-11-13,141.79738933204837,3.81
59,2021-11-14,141.79738933204837,3.77
59,2021-11-15,158.371110163067,3.63
59,2021-11-16,181.69708762894507,3.43
59,2021-11-17,188.75626501993452,3.29
59,2021-11-18,227.12135953618136,3.05
59,2021-11-19,244.00200112332996,3.34
59,2021-11-20,265.79337480855816,3.47
59,2021-11-21,272.5456314434176,3.51
59,2021-11-22,301.7031032757652,3.61
60,2021-09-01,87.6148754821199,10.79
60,2021-09-02,91.42421789438598,11.71
