antenne,nom complet,qualite,parti,CLR,color_num_rand,datetime
Public Sénat,Luc Carvounas,Député du Val-de-Marne et Maire d'Alfortville,Parti socialiste,GAUCHE,2.3828020804082586,2021-03-05
France Info,Marion Maréchal-Le Pen,Ancienne députée de Vaucluse,Rassemblement national,EXT D,9.437793384223578,2021-03-05
RMC-BFM TV,Olivier Véran,Ministre des Solidarités et de la Santé,La République en marche !,CENTRE (majorité),4.4005732975374015,2021-03-05
Europe 1,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.092217191607854,2021-03-05
France Info,Gabriel Attal,Secrétaire d'État auprès du Premier ministre Porte-parole du gouvernement,La République en marche !,CENTRE (majorité),4.648849955432479,2021-03-05
LCP,Fabien Roussel,Membre du PCF,PCF,EXT G,1.5197368756810135,2021-03-05
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.162924180535153,2021-03-05
LCI,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.0905751960464216,2021-03-05
Public Sénat,Jean-François Rapin,Sénateur du Pas-de-Calais,Les Républicains,DROITE,8.336525285963882,2021-03-05
RFI,Laetitia Saint-Paul,Députée du Maine-et-Loire,La République en marche !,CENTRE (majorité),4.2534916882632885,2021-03-05
France Info,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.056768068282034,2021-03-06
France Inter,Sandrine Rousseau,candidate à la primaire d'Europe Ecologie les Verts pour l'élection présidentielle de 2022,Europe écologie - Les Verts,GAUCHE,2.4783196849118743,2021-03-06
BFM TV,Eric Piolle,Maire de Grenoble,Europe écologie - Les Verts,GAUCHE,2.024298369548386,2021-03-07
BFM TV,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.680348220025886,2021-03-07
CNews,Frédéric Péchenard,Vice-président du Conseil régional d'Île-de-France et conseiller de Paris,Les Républicains,DROITE,8.22609251783399,2021-03-08
France Inter,Delphine Batho,Députée des Deux-Sèvres,Génération écologie,GAUCHE,2.009152897874508,2021-03-08
Public Sénat,Martine Filleul,Sénatrice du Nord,Parti socialiste,GAUCHE,2.146356245336835,2021-03-08
Sud Radio,Aurore Bergé,Députée des Yvelines,La République en marche !,CENTRE (majorité),4.540270465490138,2021-03-08
RTL,Laetitia Saint-Paul,Députée du Maine-et-Loire,La République en marche !,CENTRE (majorité),4.542354464499274,2021-03-08
Radio Classique,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.579860718322337,2021-03-08
RMC-BFM TV,Marlène Schiappa,Ministre déléguée chargée de la Citoyenneté,La République en marche !,CENTRE (majorité),4.248232745780905,2021-03-08
BFM TV,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.749145633328316,2021-03-08
France Info,Najat Vallaud-Belkacem,Ancienne ministre,Parti socialiste,GAUCHE,2.1441360543387535,2021-03-08
France Inter,Anne Hidalgo,Maire de Paris,Parti socialiste,GAUCHE,2.3804677643282224,2021-03-08
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.668313075884768,2021-03-08
France Info,Marie-Pierre Rixain,Députée de l'Essonne,La République en marche !,CENTRE (majorité),4.3332639912036175,2021-03-08
France Info,Erwan Balanant,Député du Finistère,MoDem,CENTRE,5.386930178267312,2021-03-09
BFM TV,Fiona Lazaar,Députée du Val-d'Oise,La République en marche !,CENTRE (majorité),4.01358037333812,2021-03-09
France Info,Aurélie Filippetti,Ancienne ministre,Parti socialiste,GAUCHE,2.210402199010401,2021-03-09
BFM TV,Sacha Houlié,Député de la Vienne,La République en marche !,CENTRE (majorité),4.433216194575942,2021-03-09
France Inter,Brigitte Bourguignon,Ministre déléguée chargée de l'Autonomie,La République en marche !,CENTRE (majorité),4.607141315424947,2021-03-09
CNews,Julien Borowczyk,Député de la Loire,La République en marche !,CENTRE (majorité),4.085810889747543,2021-03-09
CNews,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.110621355491839,2021-03-09
Le Figaro,Hervé Juvin,Ancien député européen,Rassemblement national,EXT D,9.757750930824345,2021-03-09
France Inter,Gérard Larcher,Sénateur des Yvelines et Président du Sénat,Les Républicains,DROITE,8.0978848079519,2021-03-09
LCI,Barbara Pompili,Ministre de la Transition écologique,UDE,CENTRE GAUCHE,3.0169692857841675,2021-03-09
Europe 1,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.205347833659427,2021-03-09
Public Sénat,Boris Vallaud,Député des Landes,Parti socialiste,GAUCHE,2.4478942073785297,2021-03-09
RFI,Hervé Juvin,Ancien député européen,Rassemblement national,EXT D,9.350165251229251,2021-03-09
Sud Radio,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.316940432411594,2021-03-09
France 2,Bruno Le Maire,Ministre de l'Économie,La République en marche !,CENTRE (majorité),4.564040660033937,2021-03-09
Public Sénat,Catherine Deroche,Sénatrice du Maine-et-Loire,Les Républicains,DROITE,8.29095763547438,2021-03-09
CNews,Laurent Jacobelli,Délégué national du Rassemblement national,Rassemblement national,EXT D,9.29925856715598,2021-03-09
CNews,Julien Odoul,Président du groupe RN à la région Bourgogne-Franche-Comté,Rassemblement national,EXT D,9.720577009685758,2021-03-09
BFM TV,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.002968106282536,2021-03-10
Europe 1,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.374451192908191,2021-03-10
RMC-BFM TV,Richard Ferrand,Président de l'Assemblée nationale,La République en marche !,CENTRE (majorité),4.178206681752314,2021-03-10
LCI,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.114986970176112,2021-03-10
BFM TV,Frédérique Vidal,"Ministre de l'Enseignement supérieur, de la Recherche et de l'Innovation",Divers,DIV,6.202069828743972,2021-03-10
Le Figaro,Patrick Kanner,Sénateur du Nord,Parti socialiste,GAUCHE,2.6228954583512967,2021-03-10
France Info,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.149273595491044,2021-03-10
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.76983551090639,2021-03-10
France Info,Mathilde Panot,Députée du Val-de-Marne,La France insoumise,EXT G,1.6661964440871344,2021-03-10
Public Sénat,Jean-Baptiste Lemoyne,"Secrétaire d'État chargé du Tourisme, des Français de létranger et de la Francophonie",La République en marche !,CENTRE (majorité),4.528381486483067,2021-03-10
RTL,Benoit Payan,Maire de Marseille,Parti socialiste,GAUCHE,2.7457628003988894,2021-03-10
Sud Radio,Julien Aubert,Député du Vaucluse,Les Républicains,DROITE,8.174267184257811,2021-03-10
France 2,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.0465472841357384,2021-03-10
Public Sénat,Stéphane Sautarel,Sénateur du Cantal,Les Républicains,DROITE,8.62259152480276,2021-03-10
CNews,Nadine Morano,Députée européenne,Les Républicains,DROITE,8.328341600314765,2021-03-10
RTL,Eric Ciotti,Député des Alpes-Maritimes et Président du conseil départemental des Alpes-Maritimes,Les Républicains,DROITE,8.626526397916093,2021-03-11
Public Sénat,Nathalie Goulet,Sénatrice de l'Orne,Les Républicains,DROITE,8.177456503362755,2021-03-11
France 2,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.073820615451199,2021-03-11
Sud Radio,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.6877347780565755,2021-03-11
RMC,Jean-Baptiste Djebbari,Secrétaire d'État aux Transports,La République en marche !,CENTRE (majorité),4.604427106973591,2021-03-11
France Info,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.620127341607248,2021-03-11
LCI,Christophe Castaner,"Président du groupe LREM à l'Assemblée nationale, ancien Ministre de l'Intérieur",La République en marche !,CENTRE (majorité),4.1712627320831155,2021-03-11
RMC-BFM TV,Olivier Faure,Premier secrétaire du Parti socialiste et président du groupe Nouvelle gauche à l'Assemblée nationale,Parti socialiste,GAUCHE,2.593716555035227,2021-03-11
Le Figaro,Brigitte Bourguignon,Ministre déléguée chargée de l'Autonomie,La République en marche !,CENTRE (majorité),4.078612755569388,2021-03-11
France Info,Frédéric Valletoux,Maire de Fontainebleau,Les Républicains,DROITE,8.362938435834659,2021-03-11
Radio Classique,Robert Ménard,Maire de Béziers,Divers droite,DROITE,8.529815427290442,2021-03-11
France Inter,Clément Beaune,Secrétaire d'État chargé des Affaires européennes,La République en marche !,CENTRE (majorité),4.772240827917126,2021-03-11
Public Sénat,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.245035633906449,2021-03-11
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.032541059830292,2021-03-12
RMC-BFM TV,Rachida Dati,Maire du 7e arrondissement de Paris,Les Républicains,DROITE,8.582563536602812,2021-03-12
RFI,Marc Fesneau,Ministre chargé des Relations avec le Parlement,MoDem,CENTRE,5.341769348747887,2021-03-12
CNews,Xavier Iacovelli,Sénateur des Hauts-de-Seine,Parti socialiste,GAUCHE,2.726744338852942,2021-03-12
Sud Radio,Danièle Obono,Députée de Paris,La France insoumise,EXT G,1.5133684172137247,2021-03-12
Public Sénat,Carole Delga,Présidente du conseil régional d'Occitanie,Parti socialiste,GAUCHE,2.0560181357459406,2021-03-12
France 2,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.672165630072957,2021-03-12
France Info,Fabien Roussel,Membre du PCF,PCF,EXT G,1.6507929458818706,2021-03-12
France Info,Aurélie Filippetti,Ancienne ministre,Parti socialiste,GAUCHE,2.4791847874661554,2021-03-12
CNews,Emmanuelle Wargon,Ministre déléguée chargée du Logement,Divers,DIV,6.577117962172462,2021-03-12
LCP,Guillaume Garot,Député de la Mayenne,Parti socialiste,GAUCHE,2.1432019594812948,2021-03-12
France Inter,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.76337179848351,2021-03-13
France Info,Roland Lescure,Député des Français établis hors de France,La République en marche !,CENTRE (majorité),4.439828558217611,2021-03-13
LCI,Nicolas Dupont-Aignan,"Président de Debout la France, député de l'Essonne",Debout la France,DROITE,8.182243965217575,2021-03-14
BFM TV,Anne Genetet,Députée des Français établis hors de France,La République en marche !,CENTRE (majorité),4.250065333746612,2021-03-15
LCP,Jean-Charles Colas-Roy,Député de l'Isère,La République en marche !,CENTRE (majorité),4.613157388879725,2021-03-15
France Info,François de Rugy,Ancien ministre de la Transition écologique et solidaire,UDE,CENTRE GAUCHE,3.4970079838041133,2021-03-15
CNews,Philippe Douste-Blazy,Ancien ministre des Affaires étrangères et de la Santé,Les Républicains,DROITE,8.385846425864814,2021-03-15
CNews,François Pupponi,Député du Val-d'Oise,Divers gauche,GAUCHE,2.620940177689956,2021-03-15
CNews,Philippe Doucet,Ancien député du Val-d'Oise,Parti socialiste,GAUCHE,2.126673785966696,2021-03-15
France Inter,Jean-Luc Mélenchon,Député des Bouches-du-Rhône et coprésident du bureau national du Parti de gauche,La France insoumise,EXT G,1.771552912692178,2021-03-15
Europe 1,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.407108775192718,2021-03-15
Public Sénat,Benoît Hamon,Ancien candidat à l'élection présidentielle et ancien député des Yvelines,Génération.s,GAUCHE,2.7259095090462724,2021-03-15
Sud Radio,Sophie Cluzel,Secrétaire d'État chargée des Personnes handicapées,Divers,DIV,6.081125075087837,2021-03-15
France 2,Valérie Pécresse,Présidente du Conseil régional d'Île-de-France,Les Républicains,DROITE,8.617989472042868,2021-03-15
Public Sénat,Esther Benbassa,Sénatrice du Val-de-Marne,Europe écologie - Les Verts,GAUCHE,2.611505714608564,2021-03-15
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.604878138590417,2021-03-15
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.539902268969406,2021-03-15
RMC-BFM TV,Eric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice",Divers,DIV,6.2214835030751265,2021-03-15
France Info,Guillaume Peltier,Député de Loir-et-Cher,Les Républicains,DROITE,8.411050201995874,2021-03-16
CNews,Christophe Madrolle,Président de l'Union des centristes et écologistes,UCE,CENTRE,5.612281906966366,2021-03-16
Le Figaro,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.709692500794684,2021-03-16
RMC,Jordan Bardella,Député européen,Rassemblement national,EXT D,9.273203709359919,2021-03-16
RFI,Karima Delli,Députée européenne,Europe écologie - Les Verts,GAUCHE,2.564891017626364,2021-03-16
France Inter,Bertrand Delanoë,Ancien maire de Paris,Parti socialiste,GAUCHE,2.7411065425445105,2021-03-16
RTL,Roselyne Bachelot,Ministre de la Culture,Divers droite,DROITE,8.479504200982788,2021-03-16
CNews,Christian Estrosi,Maire de Nice,Les Républicains,DROITE,8.726825868396336,2021-03-16
Sud Radio,Fabien Roussel,Membre du PCF,PCF,EXT G,1.5543853093595583,2021-03-16
Public Sénat,Jérôme Durain,Sénateur de Saône-et-Loire,Parti socialiste,GAUCHE,2.771604504311577,2021-03-16
LCI,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.0104783901076315,2021-03-16
BFM TV,Prisca Thevenot,Porte-parole de LREM,La République en marche !,CENTRE (majorité),4.494607759595147,2021-03-16
France Info,Pascal Canfin,Député européen,Divers gauche,GAUCHE,2.1213481168048247,2021-03-16
CNews,Jean Messiha,Candidat aux élections législatives de 2017 dans l'Aisne,Rassemblement national,EXT D,9.450448955446419,2021-03-16
France Info,Agnès Pannier-Runacher,Ministre déléguée chargée de l'Industrie,La République en marche !,CENTRE (majorité),4.231185718169009,2021-03-16
CNews,Bruno Retailleau,Sénateur de la Vendée et Président du conseil régional des Pays de la Loire,Les Républicains,DROITE,8.506332764559229,2021-03-17
BFM TV,Karl Olive,Maire de Poissy,Les Républicains,DROITE,8.406901465122349,2021-03-17
BFM TV,Sébastien Chenu,Député du Nord,Rassemblement national,EXT D,9.0593310512548,2021-03-17
BFM TV,Clémentine Autain,"Députée de Seine-Saint-Denis
",La France insoumise,EXT G,1.4615819408755901,2021-03-17
BFM TV,Alexandra Dublanche,Vice-présidente de la région Ile-de-France et porte-parole de Libres !,Libres,DROITE,8.07267177567277,2021-03-17
Europe 1,Damien Abad,"Député de l'Ain, Président du groupe Les Républicains à l'Assemblée nationale",Les Républicains,DROITE,8.214269866904177,2021-03-17
France Info,Frédéric Valletoux,Maire de Fontainebleau,Les Républicains,DROITE,8.466618402618042,2021-03-17
France Info,Pierre-Yves Bournazel,Député de Paris,Agir,CENTRE DROIT,7.484792475682387,2021-03-17
France Info,Yannick Jadot,Député européen,Europe écologie - Les Verts,GAUCHE,2.6824185794451756,2021-03-17
Public Sénat,François-Noël Buffet,Sénateur du Rhône et maire d'Oullins,Les Républicains,DROITE,8.112704540277775,2021-03-17
LCI,Brice Hortefeux,Député européen,Les Républicains,DROITE,8.27441939475766,2021-03-17
Public Sénat,Hervé Morin,Président de la Région Normandie,UDI,CENTRE DROIT,7.679834354302214,2021-03-17
Sud Radio,Aurélien Pradié,Député du Lot,Les Républicains,DROITE,8.144143267238293,2021-03-17
Le Figaro,Loïg Chesnais-Girard,Président de la région Bretagne,Parti socialiste,GAUCHE,2.7177381667731293,2021-03-17
Radio Classique,David Lisnard,Maire de Cannes et conseiller départemental des Alpes-Maritimes,Les Républicains,DROITE,8.27008993509375,2021-03-17
CNews,Olga Givernet,Députée de l'Ain,La République en marche !,CENTRE (majorité),4.690109628634028,2021-03-17
RFI,Renaud Muselier,Président du conseil régional de Provence-Alpes-Côte d'Azur,Les Républicains,DROITE,8.236380565270508,2021-03-17
RMC-BFM TV,Adrien Quatennens,Député du Nord,La France insoumise,EXT G,1.4154407643625504,2021-03-18
CNews,Jérôme Rivière,Député européen,Rassemblement national,EXT D,9.173287514034982,2021-03-18
