id,circonscription,numPanneau,nom,prenom,civilite,codeNuance,libelleNuance,names_ok,sortant
3865,069-12,9,ANNANI,Elodie,Mme,RN,Rassemblement National,Annani,non
3866,069-12,10,BAUDIN,Jean-François,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Baudin,non
3867,069-12,11,BEUZIT,Céline,Mme,ECO,Ecologistes,Beuzit,non
3868,069-12,12,CHAMBON,Arthur,M.,RDG,Parti radical de gauche,Chambon,non
3869,069-13,1,TANZILLI,Sarah,Mme,ENS,Ensemble ! (Majorité présidentielle),Tanzilli,non
3870,069-13,2,PRANDT,Victor,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Prandt,non
3871,069-13,3,BARTHÈS,Didier,M.,ECO,Ecologistes,Barthès,non
3872,069-13,4,PIOT,Michel,M.,DXG,Divers extrême gauche,Piot,non
3873,069-13,5,GIGAREL,Océane,Mme,REC,Reconquête !,Gigarel,non
3874,069-13,6,PERREIRA,Christina,Mme,ECO,Ecologistes,Perreira,non
3875,069-13,7,CHOMETTE,Auriane,Mme,DSV,Droite souverainiste,Chomette,non
3876,069-13,8,PECHEREAU,Alain,M.,RN,Rassemblement National,Pechereau,non
3877,069-13,9,GASCON,Gilles,M.,LR,Les Républicains,Gascon,non
3878,069-13,10,BRIZA,Sabrina,Mme,DIV,Divers,Briza,non
3879,069-14,1,MONCHAU,Damien,M.,RN,Rassemblement National,Monchau,non
3880,069-14,2,KESSI,Mokrane,M.,DVC,Divers centre,Kessi,non
3881,069-14,3,MINOUX,Olivier,M.,DXG,Divers extrême gauche,Minoux,non
3882,069-14,4,SALMI,Camila,Mme,ECO,Ecologistes,Salmi,non
3883,069-14,5,OMEIR,Farid,M.,DIV,Divers,Omeir,non
3884,069-14,6,AYVALI,Yalcin,M.,DIV,Divers,Ayvali,non
3885,069-14,7,PALLUY,Delphine,Mme,ECO,Ecologistes,Palluy,non
3886,069-14,8,ATTAL,Bruno,M.,REC,Reconquête !,Attal,non
3887,069-14,9,BOUMERTIT,Idir,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Boumertit,non
3888,069-14,10,BLEIN,Yves,M.,ENS,Ensemble ! (Majorité présidentielle),Blein,oui
3889,069-14,11,EGRON,Martin,M.,DSV,Droite souverainiste,Egron,non
3890,070-01,1,BESSOT BALLOT,Barbara,Mme,ENS,Ensemble ! (Majorité présidentielle),Bessot Ballot,oui
3891,070-01,2,ERARD,Karine,Mme,ECO,Ecologistes,Erard,non
3892,070-01,3,FISCHER,Cédric,M.,DXG,Divers extrême gauche,Fischer,non
3893,070-01,4,VILLEDIEU,Antoine,M.,RN,Rassemblement National,Villedieu,non
3894,070-01,5,DOUSSOT,Dimitri,M.,LR,Les Républicains,Doussot,non
3895,070-01,6,KEMPS HOUVER,Marion,Mme,DSV,Droite souverainiste,Kemps Houver,non
3896,070-01,7,GHILES,Philippe,M.,REC,Reconquête !,Ghiles,non
3897,070-01,8,GIRARDOT,Sandra,Mme,NUPES,Nouvelle Union Populaire Écologique et Sociale,Girardot,non
3898,070-02,1,APRO,Isabelle,Mme,DXG,Divers extrême gauche,Apro,non
3899,070-02,2,GUERAIN,Patrice,M.,NUPES,Nouvelle Union Populaire Écologique et Sociale,Guerain,non
3900,070-02,3,ROCHON,Sophie,Mme,ECO,Ecologistes,Rochon,non
3901,070-02,4,LEJEUNE,Christophe,M.,ENS,Ensemble ! (Majorité présidentielle),Lejeune,oui
3902,070-02,5,MONNIER,Maurice,M.,REC,Reconquête !,Monnier,non
3903,070-02,6,SALMON,Emeric,M.,RN,Rassemblement National,Salmon,non
3904,070-02,7,COUDEREAU,Corinne,Mme,UDI,Union des Démocrates et des Indépendants,Coudereau,non
