dep,datetime,hosp,rea,HospConv,SSR_USLD,autres,rad,dc,population,hosp_pour_100k,rea_pour_100k
48,2020-10-03,4,0,,,,33,1,76601,5.2,0.0
49,2020-10-03,53,9,,,,757,148,813493,6.5,1.1
50,2020-10-03,12,1,,,,200,54,496883,2.4,0.2
51,2020-10-03,40,8,,,,1112,285,568895,7.0,1.4
52,2020-10-03,13,1,,,,279,92,175640,7.4,0.6
53,2020-10-03,9,0,,,,267,49,307445,2.9,0.0
54,2020-10-03,45,3,,,,1354,370,733481,6.1,0.4
55,2020-10-03,10,0,,,,508,105,187187,5.3,0.0
56,2020-10-03,69,3,,,,472,101,750863,9.2,0.4
57,2020-10-03,57,9,,,,2700,868,1043522,5.5,0.9
58,2020-10-03,6,2,,,,116,28,207182,2.9,1.0
59,2020-10-03,320,74,,,,3074,723,2604361,12.3,2.8
60,2020-10-03,90,14,,,,1325,432,824503,10.9,1.7
61,2020-10-03,16,3,,,,277,46,283372,5.6,1.1
62,2020-10-03,124,24,,,,1639,346,1468018,8.4,1.6
63,2020-10-03,45,6,,,,257,58,653742,6.9,0.9
64,2020-10-03,54,6,,,,289,38,677309,8.0,0.9
65,2020-10-03,10,3,,,,176,27,228530,4.4,1.3
66,2020-10-03,20,2,,,,319,39,474452,4.2,0.4
67,2020-10-03,35,12,,,,2894,709,1125559,3.1,1.1
68,2020-10-03,41,6,,,,3240,843,764030,5.4,0.8
69,2020-10-03,353,74,,,,3878,736,1843319,19.2,4.0
70,2020-10-03,2,0,,,,311,77,236659,0.8,0.0
71,2020-10-03,46,5,,,,858,214,553595,8.3,0.9
72,2020-10-03,45,0,,,,495,95,566506,7.9,0.0
73,2020-10-03,24,5,,,,474,80,431174,5.6,1.2
74,2020-10-03,38,1,,,,990,177,807360,4.7,0.1
75,2020-10-03,432,103,,,,7307,1895,2187526,19.7,4.7
76,2020-10-03,130,19,,,,988,202,1254378,10.4,1.5
77,2020-10-03,136,32,,,,3141,737,1403997,9.7,2.3
78,2020-10-03,204,26,,,,2802,572,1438266,14.2,1.8
79,2020-10-03,8,1,,,,76,24,374351,2.1,0.3
80,2020-10-03,64,13,,,,789,240,572443,11.2,2.3
81,2020-10-03,39,7,,,,158,25,387890,10.1,1.8
82,2020-10-03,21,7,,,,66,8,258349,8.1,2.7
83,2020-10-03,56,13,,,,1189,161,1058740,5.3,1.2
84,2020-10-03,84,12,,,,394,63,559479,15.0,2.1
85,2020-10-03,17,5,,,,309,44,675247,2.5,0.7
86,2020-10-03,7,1,,,,173,42,436876,1.6,0.2
87,2020-10-03,25,2,,,,166,38,374426,6.7,0.5
88,2020-10-03,2,0,,,,769,268,367673,0.5,0.0
89,2020-10-03,14,2,,,,443,95,338291,4.1,0.6
90,2020-10-03,8,3,,,,580,201,142622,5.6,2.1
91,2020-10-03,190,33,,,,3099,653,1296130,14.7,2.5
92,2020-10-03,323,64,,,,5561,1152,1609306,20.1,4.0
93,2020-10-03,403,51,,,,4787,1073,1623111,24.8,3.1
94,2020-10-03,354,55,,,,5127,1274,1387926,25.5,4.0
95,2020-10-03,159,29,,,,3222,777,1228618,12.9,2.4
971,2020-10-03,185,27,,,,355,79,390253,47.4,6.9
972,2020-10-03,34,15,,,,134,21,372594,9.1,4.0
973,2020-10-03,22,4,,,,1725,63,268700,8.2,1.5
974,2020-10-03,51,14,,,,406,21,853659,6.0,1.6
976,2020-10-03,10,3,,,,457,29,256518,3.9,1.2
01,2020-10-04,33,7,,,,514,113,643350,5.1,1.1
02,2020-10-04,50,4,,,,1184,290,534490,9.4,0.7
03,2020-10-04,17,2,,,,246,46,337988,5.0,0.6
04,2020-10-04,9,0,,,,161,16,163915,5.5,0.0
05,2020-10-04,18,4,,,,158,22,141284,12.7,2.8
06,2020-10-04,127,17,,,,1161,222,1083310,11.7,1.6
07,2020-10-04,8,4,,,,471,120,325712,2.5,1.2
08,2020-10-04,10,1,,,,237,65,273579,3.7,0.4
09,2020-10-04,9,4,,,,40,3,153153,5.9,2.6
10,2020-10-04,21,4,,,,681,137,310020,6.8,1.3
11,2020-10-04,8,2,,,,260,61,370260,2.2,0.5
12,2020-10-04,16,5,,,,178,26,279206,5.7,1.8
13,2020-10-04,540,125,,,,5266,680,2024162,26.7,6.2
14,2020-10-04,36,13,,,,401,87,694002,5.2,1.9
15,2020-10-04,10,0,,,,67,15,145143,6.9,0.0
16,2020-10-04,4,2,,,,71,14,352335,1.1,0.6
17,2020-10-04,33,6,,,,164,54,644303,5.1,0.9
18,2020-10-04,22,2,,,,224,94,304256,7.2,0.7
19,2020-10-04,8,1,,,,174,42,241464,3.3,0.4
21,2020-10-04,32,11,,,,1001,258,533819,6.0,2.1
22,2020-10-04,15,4,,,,255,42,598814,2.5,0.7
23,2020-10-04,5,3,,,,89,16,118638,4.2,2.5
24,2020-10-04,18,3,,,,111,14,413606,4.4,0.7
25,2020-10-04,10,5,,,,664,154,539067,1.9,0.9
26,2020-10-04,31,8,,,,577,131,511553,6.1,1.6
27,2020-10-04,58,13,,,,314,94,601843,9.6,2.2
28,2020-10-04,21,3,,,,639,148,433233,4.8,0.7
29,2020-10-04,21,5,,,,224,48,909028,2.3,0.6
2A,2020-10-04,10,3,,,,168,50,157249,6.4,1.9
2B,2020-10-04,15,4,,,,131,16,177689,8.4,2.3
30,2020-10-04,73,18,,,,456,109,744178,9.8,2.4
31,2020-10-04,147,52,,,,1010,106,1362672,10.8,3.8
32,2020-10-04,11,1,,,,97,29,191091,5.8,0.5
33,2020-10-04,180,32,,,,1302,202,1583384,11.4,2.0
34,2020-10-04,93,32,,,,969,152,1144892,8.1,2.8
35,2020-10-04,67,6,,,,602,101,1060199,6.3,0.6
36,2020-10-04,9,3,,,,202,82,222232,4.0,1.3
37,2020-10-04,36,8,,,,438,101,606511,5.9,1.3
38,2020-10-04,132,21,,,,939,180,1258722,10.5,1.7
39,2020-10-04,6,1,,,,338,60,260188,2.3,0.4
40,2020-10-04,11,5,,,,92,15,407444,2.7,1.2
41,2020-10-04,16,1,,,,360,69,331915,4.8,0.3
42,2020-10-04,164,29,,,,1180,277,762941,21.5,3.8
43,2020-10-04,6,0,,,,134,19,227283,2.6,0.0
44,2020-10-04,56,10,,,,872,180,1394909,4.0,0.7
45,2020-10-04,42,8,,,,733,112,678105,6.2,1.2
46,2020-10-04,6,1,,,,72,22,173828,3.5,0.6
47,2020-10-04,20,4,,,,111,14,332842,6.0,1.2
48,2020-10-04,4,0,,,,33,1,76601,5.2,0.0
49,2020-10-04,54,9,,,,758,148,813493,6.6,1.1
50,2020-10-04,12,1,,,,200,54,496883,2.4,0.2
51,2020-10-04,41,9,,,,1112,285,568895,7.2,1.6
52,2020-10-04,13,1,,,,279,92,175640,7.4,0.6
53,2020-10-04,9,0,,,,267,49,307445,2.9,0.0
54,2020-10-04,44,3,,,,1355,370,733481,6.0,0.4
55,2020-10-04,13,0,,,,513,105,187187,6.9,0.0
56,2020-10-04,68,3,,,,473,102,750863,9.1,0.4
57,2020-10-04,59,9,,,,2700,868,1043522,5.7,0.9
58,2020-10-04,6,2,,,,116,28,207182,2.9,1.0
59,2020-10-04,325,76,,,,3076,724,2604361,12.5,2.9
60,2020-10-04,89,13,,,,1326,433,824503,10.8,1.6
61,2020-10-04,19,5,,,,278,47,283372,6.7,1.8
62,2020-10-04,125,25,,,,1641,346,1468018,8.5,1.7
63,2020-10-04,50,8,,,,257,58,653742,7.6,1.2
64,2020-10-04,58,6,,,,293,39,677309,8.6,0.9
65,2020-10-04,11,4,,,,176,27,228530,4.8,1.8
66,2020-10-04,18,2,,,,320,40,474452,3.8,0.4
67,2020-10-04,39,11,,,,2896,709,1125559,3.5,1.0
68,2020-10-04,40,6,,,,3241,843,764030,5.2,0.8
69,2020-10-04,364,74,,,,3885,740,1843319,19.7,4.0
70,2020-10-04,2,0,,,,311,77,236659,0.8,0.0
71,2020-10-04,48,5,,,,858,214,553595,8.7,0.9
72,2020-10-04,47,2,,,,495,95,566506,8.3,0.4
