dep,datetime,tx_incidence,tx_positivite,td
81,2021-09-08,112.08,8.83,1268.72
82,2021-09-08,88.26,5.95,1482.79
83,2021-09-08,210.81,9.13,2308.54
84,2021-09-08,275.83,12.63,2183.38
85,2021-09-08,102.22,8.37,1221.8
86,2021-09-08,147.55,11.49,1284.05
87,2021-09-08,61.3,8.22,745.77
88,2021-09-08,71.61,5.51,1299.17
89,2021-09-08,102.53,7.3,1404.7
90,2021-09-08,272.96,9.02,3026.35
91,2021-09-08,152.78,9.14,1670.8
92,2021-09-08,159.0,8.17,1945.26
93,2021-09-08,110.17,8.38,1314.06
94,2021-09-08,157.45,9.32,1689.02
95,2021-09-08,141.21,8.15,1731.96
971,2021-09-08,197.71,21.33,927.02
972,2021-09-08,263.89,21.28,1240.3
973,2021-09-08,152.01,22.89,664.2
974,2021-09-08,210.17,2.78,7556.63
976,2021-09-08,19.77,8.99,219.96
01,2021-09-09,128.77,5.16,2497.72
02,2021-09-09,63.29,7.83,808.38
03,2021-09-09,76.68,7.74,990.92
04,2021-09-09,209.25,7.39,2830.4
05,2021-09-09,72.9,6.74,1081.41
06,2021-09-09,198.08,7.06,2806.16
07,2021-09-09,173.61,8.06,2153.86
08,2021-09-09,141.73,5.91,2396.6
09,2021-09-09,291.18,14.65,1987.59
10,2021-09-09,108.73,5.53,1967.48
11,2021-09-09,91.48,4.47,2046.22
12,2021-09-09,181.2,7.58,2390.41
13,2021-09-09,420.15,8.42,4992.82
14,2021-09-09,36.92,3.43,1075.59
15,2021-09-09,132.28,6.92,1910.64
16,2021-09-09,91.64,5.8,1579.43
17,2021-09-09,95.43,7.0,1362.84
18,2021-09-09,160.97,10.32,1560.18
19,2021-09-09,24.4,2.33,1049.04
21,2021-09-09,132.1,7.59,1740.96
22,2021-09-09,152.19,6.67,2282.9
23,2021-09-09,55.81,11.11,502.33
24,2021-09-09,127.28,10.29,1237.14
25,2021-09-09,156.35,6.8,2298.0
26,2021-09-09,171.16,8.5,2014.18
27,2021-09-09,105.36,7.56,1394.13
28,2021-09-09,131.01,9.11,1437.52
29,2021-09-09,82.65,7.16,1155.1
2A,2021-09-09,174.09,10.27,1694.52
2B,2021-09-09,61.49,4.2,1465.61
30,2021-09-09,255.27,8.92,2862.68
31,2021-09-09,127.08,5.25,2421.59
32,2021-09-09,80.23,6.25,1283.72
33,2021-09-09,128.81,7.65,1682.82
34,2021-09-09,225.72,8.57,2633.4
35,2021-09-09,183.08,7.36,2487.31
36,2021-09-09,118.81,6.95,1709.01
37,2021-09-09,49.99,5.0,999.75
38,2021-09-09,144.48,7.92,1824.8
39,2021-09-09,87.65,5.88,1490.12
40,2021-09-09,101.88,5.62,1811.66
41,2021-09-09,77.83,6.94,1120.68
42,2021-09-09,167.76,7.09,2367.52
43,2021-09-09,149.49,8.56,1746.66
44,2021-09-09,122.21,7.33,1666.37
45,2021-09-09,150.85,8.09,1865.61
46,2021-09-09,170.15,9.59,1774.43
47,2021-09-09,135.48,7.25,1869.61
48,2021-09-09,50.34,8.0,629.25
49,2021-09-09,78.88,6.38,1237.11
50,2021-09-09,76.68,5.59,1373.01
51,2021-09-09,116.84,7.49,1559.85
52,2021-09-09,221.34,8.73,2534.31
53,2021-09-09,35.5,6.14,578.12
54,2021-09-09,147.36,4.98,2958.93
55,2021-09-09,66.02,5.22,1263.79
56,2021-09-09,125.21,7.33,1708.91
57,2021-09-09,211.73,6.92,3061.67
58,2021-09-09,72.28,8.14,887.97
59,2021-09-09,161.03,3.12,5166.36
60,2021-09-09,129.01,7.6,1696.53
61,2021-09-09,153.51,8.92,1720.61
62,2021-09-09,94.37,1.78,5297.05
63,2021-09-09,101.29,7.43,1363.3
64,2021-09-09,132.47,5.68,2333.13
65,2021-09-09,205.63,11.17,1841.75
66,2021-09-09,160.62,6.19,2596.0
67,2021-09-09,188.64,6.07,3110.29
68,2021-09-09,244.02,7.12,3425.06
69,2021-09-09,184.08,8.1,2271.96
70,2021-09-09,176.68,7.57,2333.63
71,2021-09-09,61.63,5.12,1203.37
72,2021-09-09,159.51,6.76,2361.29
73,2021-09-09,126.01,7.17,1756.32
74,2021-09-09,182.54,8.25,2212.37
75,2021-09-09,146.13,5.11,2857.57
76,2021-09-09,83.56,3.03,2757.32
77,2021-09-09,118.1,7.43,1588.55
78,2021-09-09,122.75,6.93,1771.96
79,2021-09-09,163.64,6.61,2476.67
80,2021-09-09,40.41,2.92,1382.75
81,2021-09-09,89.66,4.88,1838.07
82,2021-09-09,100.03,6.34,1576.93
83,2021-09-09,210.81,7.74,2724.98
84,2021-09-09,264.21,9.61,2749.55
85,2021-09-09,94.92,7.2,1319.15
86,2021-09-09,143.56,8.53,1682.82
87,2021-09-09,45.97,5.17,888.8
