id_circo,nom,groupe_sigle,parti_ratt_financier
13016,Monica Michel-Brassart,LREM,La République en Marche
14002,Laurence Dumont,SOC,Parti socialiste
87001,Sophie Beaudouin-Hubiere,LREM,La République en Marche
69003,Jean-Louis Touraine,LREM,La République en Marche
31007,Élisabeth Toutut-Picard,LREM,La République en Marche
56003,Nicole Le Peih,LREM,La République en Marche
01002,Charles de la Verpillière,LR,Les Républicains
67003,Bruno Studer,LREM,La République en Marche
78001,Didier Baichère,LREM,La République en Marche
35002,Laurence Maillart-Méhaignerie,LREM,La République en Marche
78003,Béatrice Piron,LREM,La République en Marche
ZA004,Hélène Vainqueur-Christophe,SOC,Parti progressiste martiniquais
58001,Perrine Goulet,MODEM,Mouvement Démocrate
2B002,Jean-Félix Acquaviva,LT,Régions et peuples solidaires
33001,Dominique David,LREM,La République en Marche
95006,Nathalie Elimas,MODEM,Mouvement Démocrate
76010,Xavier Batut,LREM,La République en Marche
08003,Jean-Luc Warsmann,UDI,Non déclaré(s)
50003,Stéphane Travert,LREM,La République en Marche
44004,Aude Amadou,LREM,La République en Marche
79002,Delphine Batho,NI,Europe Écologie Les Verts
31002,Jean-Luc Lagleize,MODEM,Mouvement Démocrate
57003,Richard Lioger,LREM,La République en Marche
09001,Bénédicte Taurine,LFI,La France Insoumise
69004,Anne Brugnera,LREM,La République en Marche
69014,Yves Blein,LREM,La République en Marche
01003,Olga Givernet,LREM,La République en Marche
59017,Dimitri Houbron,AE,La République en Marche
25002,Éric Alauzet,LREM,La République en Marche
22001,Bruno Joncour,MODEM,Mouvement Démocrate
44001,François de Rugy,LREM,La République en Marche
07003,Fabrice Brun,LR,Les Républicains
ZB004,Jean-Philippe Nilor,GDR,Parti communiste français
42002,Jean-Michel Mis,LREM,La République en Marche
71002,Josiane Corneloup,LR,Les Républicains
22004,Yannick Kerlogot,LREM,La République en Marche
71001,Benjamin Dirx,LREM,La République en Marche
49002,Stella Dupont,LREM,La République en Marche
06002,Loïc Dombreval,LREM,La République en Marche
24002,Michel Delpon,LREM,La République en Marche
46002,Huguette Tiegna,LREM,La République en Marche
03001,Jean-Paul Dufrègne,GDR,Parti communiste français
69002,Hubert Julien-Laferrière,NI,Europe Écologie Les Verts
49001,Matthieu Orphelin,NI,Europe Écologie Les Verts
59005,Sébastien Huyghe,LR,Les Républicains
94007,Jean-Jacques Bridey,LREM,La République en Marche
68006,Bruno Fuchs,MODEM,Mouvement Démocrate
95009,Zivka Park,LREM,La République en Marche
33009,Sophie Mette,MODEM,Mouvement Démocrate
77010,Stéphanie Do,LREM,La République en Marche
93004,Marie-George Buffet,GDR,Parti communiste français
